customer_state,delivered_orders,avg_delivery_days,avg_estimated_days,late_rate,avg_days_late_when_late,avg_seller_handling_days,avg_carrier_transit_days,avg_freight_value,avg_review_score
RR,41,29.341,46.634,0.122,36.4,3.22,25.61,48.343,3.902
AP,67,27.179,46.866,0.045,48.333,2.746,23.716,41.299,4.242
AM,145,26.359,45.924,0.041,20.167,2.441,23.441,37.446,4.243
AL,397,24.501,33.209,0.239,8.537,2.884,21.068,38.581,3.848
PA,946,23.725,37.792,0.124,11.615,2.865,20.262,39.697,3.914
MA,717,21.512,31.084,0.197,9.312,2.888,17.936,42.949,3.833
SE,335,21.463,31.484,0.152,16.196,3.057,17.887,40.94,3.907
CE,1279,21.2,32.005,0.153,13.633,2.782,17.893,36.497,3.944
AC,80,21.0,41.725,0.038,18.667,2.775,17.512,45.554,4.088
PB,517,20.389,33.65,0.11,9.789,2.826,16.913,48.843,4.076
PI,476,19.395,30.702,0.16,11.592,2.634,16.254,42.977,3.994
RO,243,19.284,39.387,0.029,5.571,2.148,16.461,46.433,4.165
BA,3256,19.279,30.073,0.14,10.418,2.723,15.991,29.961,3.931
RN,474,19.224,32.873,0.108,12.49,3.032,15.673,39.26,4.151
PE,1593,18.395,31.689,0.108,10.645,2.741,15.139,35.833,4.083
MT,886,18.003,32.367,0.068,9.4,2.456,14.876,32.768,4.146
TO,274,17.599,29.73,0.128,5.029,2.763,14.186,42.354,4.154
ES,1995,15.724,26.22,0.122,9.91,2.845,12.351,24.569,4.079
MS,701,15.545,26.598,0.116,7.0,2.598,12.412,27.015,4.162
GO,1957,15.536,27.722,0.082,9.094,2.537,12.384,26.252,4.106
RS,5344,15.249,29.159,0.071,8.712,2.617,12.031,24.805,4.185
RJ,12350,15.237,26.998,0.135,12.149,2.837,11.946,23.947,3.965
SC,3546,14.903,26.406,0.098,6.991,2.754,11.574,24.849,4.134
DF,2080,12.899,24.947,0.071,5.952,2.663,9.738,23.858,4.131
MG,11354,11.945,25.188,0.056,6.845,2.728,8.715,23.464,4.192
PR,4923,11.938,25.252,0.05,6.732,2.652,8.735,23.491,4.24
SP,40494,8.701,19.776,0.059,6.354,2.655,5.555,17.335,4.246
