month_start,orders,customers,items_sold,gross_merchandise_value,freight_value,total_revenue,avg_order_value,avg_review_score,late_delivery_rate
2017-01-01,787,753,953,120098.26980829239,16845.190059388056,136943.46011447906,174.0069378837091,4.0926640926640925,0.029224904701397714
2017-02-01,1718,1693,1936,244959.3498044014,38602.34012846276,283561.6899051666,165.05337014270467,4.102459016393443,0.030849825378346914
2017-03-01,2617,2577,2975,368341.3195056915,57276.64005821943,425617.95882606506,162.63582683456823,4.131639722863741,0.054260603744745894
2017-04-01,2377,2345,2660,353842.9796319008,52005.63007414341,405848.60941696167,170.7398440963238,4.066525423728813,0.07614640302902818
2017-05-01,3640,3569,4106,503159.18931245804,79551.64030740038,582710.8289299011,160.08539256315964,4.176650027731559,0.035164835164835165
2017-06-01,3205,3142,3571,429916.6101257801,69735.63027375937,499652.24073028564,155.8977350172498,4.1763596353348005,0.037753510140405615
2017-07-01,3946,3872,4493,492287.30033922195,86466.43030797876,578753.7300233841,146.66845667090323,4.226540526719509,0.03370501773948302
2017-08-01,4272,4191,4882,568245.790448904,93657.73026764393,661903.5199680328,154.93996253933352,4.2683329403442585,0.0325374531835206
2017-09-01,4227,4154,4815,621415.909430027,95686.81030027196,717102.7193250656,169.64814746275505,4.221745350500715,0.0511000709723208
2017-10-01,4547,4481,5300,660179.6200304031,104576.41031215154,764756.0302772522,168.1891423525956,4.173614190687362,0.052122278425335386
2017-11-01,7423,7315,8626,1003862.1411781311,168329.5405681245,1172191.6799077988,157.91346893544372,3.9490627546862265,0.14050922807490232
2017-12-01,5620,5553,6300,742183.7897911072,119342.98043948971,861526.7695894241,153.29657821875875,4.039913700107875,0.08220640569395017
2018-01-01,7187,7088,8173,945456.291367054,156463.72047456726,1101920.011742115,153.32127615724434,4.067499298344092,0.06456101294003061
2018-02-01,6625,6469,7597,837895.4313337803,141590.7305649519,979486.1611709595,147.84696772391843,3.859120645063137,0.15818867924528301
2018-03-01,7168,7077,8195,981051.0614390373,171605.9298237115,1152656.990802765,160.80594179726072,3.7635800731775966,0.20870535714285715
2018-04-01,6919,6863,7957,993592.9793661833,162655.90961003304,1156248.8892679214,167.11213893162616,4.169896546699694,0.05217516982222865
2018-05-01,6833,6775,7898,992871.749727726,152814.70952431113,1145686.4591464996,167.66961205129513,4.210472128254155,0.08136982291819113
2018-06-01,6145,6106,7060,863265.5294702053,157116.3697844036,1020381.8994522095,166.05075662363052,4.287792122895898,0.013506916192026038
2018-07-01,6233,6172,7039,878044.2702641487,161739.30999445915,1039783.5799636841,166.819120802773,4.289754363283775,0.04428044280442804
2018-08-01,6421,6380,7216,848860.0996682644,148113.41011537053,996973.5109395981,155.267639143373,4.287947475379084,0.1027877277682604
